"","Farm.Mailing.Address.","lat","lon","location_type","forAddress"
"206","1213 Hope Circle  Bonifay, Florida 32425 Florida","30.9619177","-85.6976805","RANGE_INTERPOLATED","1213 Hope Lane, Bonifay, FL 32425, USA"
"207","3546 Baum Road Tallahassee, 32309 Florida","30.518108","-84.086184","ROOFTOP","3546 Baum Road, Tallahassee, FL 32309, USA"
"208","952 Turney Anderson Road Monticello, 32344 Florida","30.580162","-83.837502","ROOFTOP","952 Turney Anderson Road, Monticello, FL 32344, USA"
"209","7953 Smith Creek Road Sopchoppy,32358 Florida","30.081806","-84.515857","ROOFTOP","7953 Smith Creek Road, Apalachicola National Forest, Sopchoppy, FL 32358, USA"
"210","12000 Okeechobee Rd., Ft. Pierce, FL Florida","27.4020884","-80.4464462","RANGE_INTERPOLATED","12000 Okeechobee Road, Fort Pierce, FL 34945, USA"
"211","5515 N Courtenay Pkwy, Merritt Island, Florida 32953 Florida","28.456724","-80.710766","ROOFTOP","5515 North Courtenay Parkway, Merritt Island, FL 32953, USA"
"212","Love Land Farm, Florida",NA,NA,"APPROXIMATE","Florida, USA"
"213","100 SE Martin Luther King Junior Blvd, Stuart, Florida 34994 Florida","27.193646","-80.25149","ROOFTOP","100 Southeast Martin Luther King Junior Boulevard, Stuart, FL 34994, USA"
"214","3320 Shady Oak Drive East, Lakeland, Florida","28.084982","-82.048914","ROOFTOP","3320 Shady Oak Drive East, Lakeland, FL 33810, USA"
"215","13060 Sugarbowl Rd, Myakka City, FL Florida","27.3063841","-82.1133558","RANGE_INTERPOLATED","13060 Sugarbowl Road, Myakka City, FL 34251, USA"
"216","2035 Gerber Dairy Rd, Winter Haven, FL Florida","27.951591","-81.740898","ROOFTOP","2035 Gerber Dairy Road, Winter Haven, FL 33880, USA"
"217","12000 Okeechobee Rd., Ft. Pierce, FL Florida","27.4020884","-80.4464462","RANGE_INTERPOLATED","12000 Okeechobee Road, Fort Pierce, FL 34945, USA"
"218","12000 Okeechobee Rd., Ft. Pierce, FL Florida","27.4020884","-80.4464462","RANGE_INTERPOLATED","12000 Okeechobee Road, Fort Pierce, FL 34945, USA"
"219","12000 Okeechobee Rd., Ft. Pierce, FL Florida","27.4020884","-80.4464462","RANGE_INTERPOLATED","12000 Okeechobee Road, Fort Pierce, FL 34945, USA"
